YEAR,Cases Pending Investigation from Previous Year (Col.4),CasesReported,Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during investigation (Col.10),Fi0l Report - Cases Ended as FR Non Cognizable (Col.11),Fi0l Report - Cases Ended as Fi0l Report False (Col.12),Fi0l Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Fi0l Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Fi0l Report - Cases Abated during Investigation (Col.15),Fi0l Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percent- age (Col.25=Col.23/ Col.7) *100,Category (Col.2)_Offences under IPC,Category (Col.2)_Offences under SLL,Category (Col.2)_Total Offences under I.T. Act,Category (Col.2)_Total Offences under IPC,Category (Col.2)_Total Offences under SLL,Crime Head (Col.3)_Abetment of Suicide (Online),Crime Head (Col.3)_Abetment to Commit Offences,Crime Head (Col.3)_Attempt to Commit Offences,Crime Head (Col.3)_Cheating,Crime Head (Col.3)_Cheating by perso0tion by using computer resource,Crime Head (Col.3)_Computer Related Offences,Crime Head (Col.3)_Copy Right Act,Crime Head (Col.3)_Counterfeiting,Crime Head (Col.3)_Credit Card/Debit Card,Crime Head (Col.3)_Currency,Crime Head (Col.3)_Cyber Blackmailing/Threatening,Crime Head (Col.3)_Cyber Stalking/Bullying of Women/Children,Crime Head (Col.3)_Cyber Terrorism,Crime Head (Col.3)_Data theft,Crime Head (Col.3)_Defamation/Morphing,Crime Head (Col.3)_Dishonestly receiving stolen computer resource or communication device,Crime Head (Col.3)_Fake News on Social Media,Crime Head (Col.3)_Fake News on Social Media ,Crime Head (Col.3)_Fake Profile,Crime Head (Col.3)_Forgery,Crime Head (Col.3)_Fraud,Crime Head (Col.3)_Gambling Act (Online Gambling),Crime Head (Col.3)_Identity Theft,Crime Head (Col.3)_Interception or Monitoring or decryption of Information,Crime Head (Col.3)_Lotteries Act (Online Lotteries),Crime Head (Col.3)_OTP Frauds,Crime Head (Col.3)_Offences other than Ransom-ware,Crime Head (Col.3)_Online Banking Fraud,Crime Head (Col.3)_Other Offences,Crime Head (Col.3)_Other SLL Crimes,Crime Head (Col.3)_Other Sections 67 IT Act,Crime Head (Col.3)_Other Sections of IT Act,Crime Head (Col.3)_Others,Crime Head (Col.3)_Preservation and retention of information by intermediaries,Crime Head (Col.3)_Publication/transmission of obscene / sexually explicit act in electronic form,Crime Head (Col.3)_Publication/transmission of obscene/sexually explicit act in electronic form,Crime Head (Col.3)_Publishing or transmitting obscene material in Electronic Form,Crime Head (Col.3)_Publishing or transmitting of material containing Sexually explicit act in electronic form,Crime Head (Col.3)_Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,Crime Head (Col.3)_Ransom-ware,Crime Head (Col.3)_Ransomware,Crime Head (Col.3)_Stamps,Crime Head (Col.3)_Tampering Computer Source Documents,Crime Head (Col.3)_Tampering computer source documents,Crime Head (Col.3)_Trade Marks Act,Crime Head (Col.3)_Un-Authorized Access/Attempt to Access to Protected Computer System,Crime Head (Col.3)_Un-authorized access/attempt to  access to protected computer system,Crime Head (Col.3)_Un-authorized access/attempt to access to protected computer system,Crime Head (Col.3)_Violation of Privacy
2017,1636,3466,1,5103,0,1,1,0,16,52,879,6,953,127,487,614,1568,4,9,3530,39.2,69.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,268,395,0,663,0,0,0,0,1,10,114,0,125,7,76,83,208,0,0,455,39.9,68.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,743,1543,0,2286,0,1,1,0,7,13,379,1,400,37,273,310,711,0,3,1574,43.6,68.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,251,804,1,1056,0,0,0,0,1,11,177,5,194,34,81,115,309,1,5,746,37.2,70.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,106,334,0,440,0,0,0,0,4,6,119,0,129,20,25,45,174,0,1,266,25.9,60.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,268,390,0,658,0,0,0,0,3,12,90,0,105,29,32,61,166,3,0,489,36.7,74.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3009,1896,0,4905,0,4,0,0,26,111,643,2,782,132,169,301,1087,0,0,3818,27.7,77.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,178,99,0,277,0,1,0,0,7,6,28,0,41,8,16,24,66,0,1,211,36.4,76.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,12,0,16,0,2,0,0,0,0,1,0,1,0,4,4,7,0,0,9,57.1,56.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,59,86,0,145,0,0,0,0,0,6,9,0,15,9,22,31,46,0,0,99,67.4,68.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,12,1,0,13,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,11,50,84.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,12,1,0,13,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,11,50,84.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,49,311,0,360,0,0,0,1,6,6,16,1,30,15,88,103,133,1,0,226,77.4,62.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,14,170,0,184,0,0,0,0,1,4,19,0,24,0,51,51,75,0,0,109,68,59.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,683,1086,0,1769,0,4,0,2,18,32,181,6,239,154,364,518,761,6,0,1002,68.1,56.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,45,0,48,0,0,0,0,0,0,0,0,0,5,23,28,28,0,0,20,100,41.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,85,89,0,174,0,1,0,0,2,5,6,0,13,22,35,57,71,0,0,103,80.3,59.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,11,0,13,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,12,100,92.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017,14,29,0,43,0,0,0,0,0,1,1,0,2,1,8,9,11,0,0,32,81.8,74.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,163,257,0,420,0,0,0,0,4,17,126,0,147,52,70,122,269,1,0,150,45.4,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,9696,14141,1,23838,0,34,0,3,174,413,4385,46,5021,1201,1529,2730,7785,5,3,16048,35.1,67.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3234,3969,0,7203,0,4,0,1,73,160,1642,6,1882,661,696,1357,3243,4,0,3956,41.8,54.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,255,1218,0,1473,0,0,0,0,27,5,270,0,302,89,100,189,491,0,0,982,38.5,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,2979,2751,0,5730,0,4,0,1,46,155,1372,6,1580,572,596,1168,2752,4,0,2974,42.4,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
